SEASON,RANK,TEAM,G,W,L,DEF RTG,RTG vs. LEAGUE AVG
2008-09,4,Houston Rockets,82,53,29,102.9,0.962221807
2008-09,5,San Antonio Spurs,82,54,28,103.4,0.966897326
2008-09,6,Los Angeles Lakers,82,65,17,103.5,0.967832429
2008-09,7,Charlotte Bobcats,82,35,47,105,0.981858986
2008-09,8,Denver Nuggets,82,54,28,105.6,0.987469609
2008-09,9,Utah Jazz,82,48,34,105.8,0.989339817
2008-09,10,New Orleans Hornets,82,49,33,105.8,0.989339817
2008-09,11,Portland Trail Blazers,82,54,28,106.1,0.992145128
2008-09,12,Philadelphia 76ers,82,41,41,106.1,0.992145128
2008-09,13,Milwaukee Bucks,82,34,48,106.3,0.994015336
2008-09,14,Detroit Pistons,82,39,43,106.4,0.994950439
2008-09,15,Miami Heat,82,43,39,106.5,0.995885543
2008-09,16,Atlanta Hawks,82,47,35,106.7,0.997755751
2008-09,17,Dallas Mavericks,82,50,32,107,1.000561062
2008-09,18,Chicago Bulls,82,41,41,107.5,1.005236581
2008-09,19,Oklahoma City Thunder,82,23,59,107.6,1.006171685
2008-09,20,Indiana Pacers,82,36,46,108.2,1.011782308
2008-09,21,Memphis Grizzlies,82,24,58,108.2,1.011782308
2008-09,22,Toronto Raptors,82,33,49,108.6,1.015522723
2008-09,23,New York Knicks,82,32,50,109.4,1.023003553
2008-09,24,New Jersey Nets,82,34,48,109.5,1.023938657
2008-09,25,Minnesota Timberwolves,82,24,58,109.9,1.027679072
2008-09,26,Los Angeles Clippers,82,19,63,110.1,1.02954928
2008-09,27,Phoenix Suns,82,46,36,110.4,1.032354591
2008-09,28,Golden State Warriors,82,29,53,111.7,1.044510941
2008-09,29,Washington Wizards,82,19,63,112.1,1.048251356
2008-09,30,Sacramento Kings,82,17,65,113.4,1.060407705
2008-09,,League Avg,,,,106.94,1
2009-10,1,Milwaukee Bucks,82,46,36,101.9,0.956328599
2009-10,2,Charlotte Bobcats,82,44,38,102,0.957267096
2009-10,3,Los Angeles Lakers,82,57,25,102.7,0.963836576
2009-10,4,Orlando Magic,82,59,23,102.8,0.964775074
2009-10,5,Boston Celtics,82,50,32,103.2,0.968529062
2009-10,6,Miami Heat,82,47,35,103.4,0.970406056
2009-10,7,Oklahoma City Thunder,82,50,32,103.5,0.971344554
2009-10,8,Cleveland Cavaliers,82,61,21,103.8,0.974160045
2009-10,9,San Antonio Spurs,82,50,32,103.9,0.975098542
2009-10,10,Utah Jazz,82,53,29,104,0.976037039
2009-10,11,Chicago Bulls,82,41,41,104.2,0.977914034
2009-10,12,Dallas Mavericks,82,55,27,105,0.985422011
2009-10,13,Indiana Pacers,82,32,50,106,0.994806982
2009-10,14,Atlanta Hawks,82,53,29,106,0.994806982
2009-10,15,Portland Trail Blazers,82,50,32,106.1,0.99574548
2009-10,16,Denver Nuggets,82,53,29,106.5,0.999499468
2009-10,17,Houston Rockets,82,42,40,106.8,1.00231496
2009-10,18,Washington Wizards,82,26,56,108.3,1.016392417
2009-10,19,New Orleans Hornets,82,37,45,108.9,1.0220234
2009-10,20,Philadelphia 76ers,82,27,55,108.9,1.0220234
2009-10,21,New Jersey Nets,82,12,70,108.9,1.0220234
2009-10,22,Memphis Grizzlies,82,40,42,109,1.022961897
2009-10,23,Sacramento Kings,82,25,57,109.1,1.023900394
2009-10,24,Phoenix Suns,82,54,28,109.1,1.023900394
2009-10,25,Los Angeles Clippers,82,29,53,109.1,1.023900394
2009-10,26,Detroit Pistons,82,27,55,110.3,1.03516236
2009-10,27,New York Knicks,82,29,53,110.3,1.03516236
2009-10,28,Golden State Warriors,82,26,56,110.3,1.03516236
2009-10,29,Minnesota Timberwolves,82,15,67,110.4,1.036100857
2009-10,30,Toronto Raptors,82,40,42,112.2,1.052993806
2009-10,,League Avg,,,,106.5533333,1
2010-11,1,Chicago Bulls,82,62,20,99.5,0.936235611
2010-11,2,Boston Celtics,82,56,26,99.8,0.939058432
2010-11,3,Milwaukee Bucks,82,35,47,101.5,0.955054418
2010-11,4,Orlando Magic,82,52,30,101.8,0.957877239
2010-11,5,Miami Heat,82,58,24,102.9,0.968227582
2010-11,6,Los Angeles Lakers,82,57,25,103.3,0.971991343
2010-11,7,Philadelphia 76ers,82,41,41,103.8,0.976696045
2010-11,8,Dallas Mavericks,82,57,25,104.1,0.979518866
2010-11,9,New Orleans Hornets,82,46,36,104.4,0.982341687
2010-11,10,San Antonio Spurs,82,61,21,104.4,0.982341687
2010-11,11,Memphis Grizzlies,82,46,36,104.5,0.983282627
2010-11,12,Indiana Pacers,82,37,45,105,0.987987329
2010-11,13,Portland Trail Blazers,82,48,34,105.7,0.994573911
2010-11,14,Atlanta Hawks,82,44,38,105.8,0.995514851
2010-11,15,Oklahoma City Thunder,82,55,27,105.9,0.996455791
2010-11,16,Denver Nuggets,82,50,32,106.8,1.004924254
2010-11,17,Charlotte Bobcats,82,34,48,107,1.006806135
2010-11,18,Houston Rockets,82,43,39,107.9,1.015274598
2010-11,19,Los Angeles Clippers,82,32,50,108,1.016215538
2010-11,20,Sacramento Kings,82,24,58,108.4,1.019979299
2010-11,21,Utah Jazz,82,39,43,108.8,1.023743061
2010-11,22,New Jersey Nets,82,24,58,108.9,1.024684001
2010-11,23,New York Knicks,82,42,40,109,1.025624941
2010-11,24,Washington Wizards,82,23,59,109.1,1.026565882
2010-11,25,Golden State Warriors,82,36,46,109.4,1.029388702
2010-11,26,Phoenix Suns,82,40,42,109.4,1.029388702
2010-11,27,Minnesota Timberwolves,82,17,65,109.9,1.034093404
2010-11,28,Detroit Pistons,82,30,52,110.7,1.041620927
2010-11,29,Cleveland Cavaliers,82,19,63,110.9,1.043502807
2010-11,30,Toronto Raptors,82,22,60,111.7,1.05103033
2010-11,,League Avg,,,,106.2766667,1
2011-12,1,Chicago Bulls,66,50,16,97.5,0.942089668
2011-12,2,Boston Celtics,66,39,27,97.5,0.942089668
2011-12,3,Philadelphia 76ers,66,35,31,98.2,0.948853388
2011-12,4,Miami Heat,66,46,20,99.2,0.958515846
2011-12,5,New York Knicks,66,36,30,100.2,0.968178305
2011-12,6,Atlanta Hawks,66,40,26,100.4,0.970110796
2011-12,7,Memphis Grizzlies,66,41,25,100.6,0.972043288
2011-12,8,Dallas Mavericks,66,36,30,100.9,0.974942025
2011-12,9,Oklahoma City Thunder,66,47,19,102.1,0.986536975
2011-12,10,Indiana Pacers,66,42,24,102.1,0.986536975
2011-12,11,San Antonio Spurs,66,50,16,102.3,0.988469467
2011-12,12,Los Angeles Lakers,66,41,25,103.2,0.997165679
2011-12,13,Orlando Magic,66,37,29,103.4,0.999098171
2011-12,14,Toronto Raptors,66,23,43,103.6,1.001030662
2011-12,15,New Orleans Hornets,66,21,45,103.9,1.0039294
2011-12,16,Houston Rockets,66,34,32,104,1.004895645
2011-12,17,Milwaukee Bucks,66,31,35,104.1,1.005861891
2011-12,18,Los Angeles Clippers,66,40,26,104.8,1.012625612
2011-12,19,Washington Wizards,66,20,46,104.9,1.013591858
2011-12,20,Utah Jazz,66,36,30,104.9,1.013591858
2011-12,21,Detroit Pistons,66,25,41,105,1.014558104
2011-12,22,Denver Nuggets,66,38,28,105.1,1.015524349
2011-12,23,Phoenix Suns,66,33,33,105.2,1.016490595
2011-12,24,Minnesota Timberwolves,66,26,40,105.3,1.017456841
2011-12,25,Portland Trail Blazers,66,28,38,105.3,1.017456841
2011-12,26,Golden State Warriors,66,23,43,107.3,1.036781757
2011-12,27,Cleveland Cavaliers,66,21,45,107.6,1.039680495
2011-12,28,New Jersey Nets,66,22,44,108.1,1.044511724
2011-12,29,Sacramento Kings,66,22,44,108.7,1.050309199
2011-12,30,Charlotte Bobcats,66,7,59,109.4,1.057072919
2011-12,,League Avg,,,,103.4933333,1
2012-13,1,Indiana Pacers,81,49,32,99,0.944957047
2012-13,2,Memphis Grizzlies,82,56,26,99.1,0.945911549
2012-13,3,San Antonio Spurs,82,58,24,100.3,0.957365574
2012-13,4,Oklahoma City Thunder,82,60,22,101.2,0.965956093
2012-13,5,Washington Wizards,82,29,53,101.6,0.969774101
2012-13,6,Chicago Bulls,82,45,37,101.9,0.972637607
2012-13,7,Boston Celtics,81,41,40,102.6,0.979319122
2012-13,8,Los Angeles Clippers,82,56,26,102.8,0.981228126
2012-13,9,Miami Heat,82,66,16,103.2,0.985046134
2012-13,10,Atlanta Hawks,82,44,38,103.4,0.986955138
2012-13,11,Minnesota Timberwolves,82,31,51,104,0.992682151
2012-13,12,Golden State Warriors,82,47,35,104.2,0.994591155
2012-13,13,Denver Nuggets,82,57,25,104.2,0.994591155
2012-13,14,Milwaukee Bucks,82,38,44,104.2,0.994591155
2012-13,15,Philadelphia 76ers,82,34,48,104.7,0.999363665
2012-13,16,Brooklyn Nets,82,49,33,104.8,1.000318167
2012-13,17,Houston Rockets,82,45,37,105.3,1.005090678
2012-13,18,Dallas Mavericks,82,41,41,105.4,1.00604518
2012-13,19,New York Knicks,82,54,28,105.4,1.00604518
2012-13,20,Utah Jazz,82,43,39,105.6,1.007954184
2012-13,21,Los Angeles Lakers,82,45,37,105.9,1.01081769
2012-13,22,Toronto Raptors,82,34,48,106.4,1.0155902
2012-13,23,Phoenix Suns,82,25,57,106.9,1.020362711
2012-13,24,Detroit Pistons,82,29,53,107.2,1.023226217
2012-13,25,Portland Trail Blazers,82,33,49,107.9,1.029907731
2012-13,26,Cleveland Cavaliers,82,24,58,108.2,1.032771238
2012-13,27,Orlando Magic,82,20,62,108.4,1.034680242
2012-13,28,New Orleans Hornets,82,27,55,108.9,1.039452752
2012-13,29,Sacramento Kings,82,28,54,110,1.049952275
2012-13,30,Charlotte Bobcats,82,21,61,110.3,1.052815781
2012-13,,League Avg,,,,104.7666667,1
2013-14,1,Indiana Pacers,82,56,26,98.9,0.935755511
2013-14,2,Chicago Bulls,82,48,34,99.9,0.945217144
2013-14,3,Golden State Warriors,82,51,31,101.4,0.959409594
2013-14,4,San Antonio Spurs,82,62,20,101.4,0.959409594
2013-14,5,Oklahoma City Thunder,82,59,23,103,0.974548207
2013-14,6,Charlotte Bobcats,82,43,39,103.3,0.977386697
2013-14,7,Washington Wizards,82,44,38,103.6,0.980225187
2013-14,8,Memphis Grizzlies,82,50,32,103.8,0.982117513
2013-14,9,Los Angeles Clippers,82,57,25,104,0.98400984
2013-14,10,Toronto Raptors,82,48,34,104.6,0.98968682
2013-14,11,Miami Heat,82,54,28,105,0.993471473
2013-14,12,Minnesota Timberwolves,82,40,42,105.2,0.9953638
2013-14,13,Houston Rockets,82,54,28,105.2,0.9953638
2013-14,14,Phoenix Suns,82,48,34,105.6,0.999148453
2013-14,15,Atlanta Hawks,82,38,44,105.7,1.000094616
2013-14,16,Portland Trail Blazers,82,54,28,106.2,1.004825433
2013-14,17,Boston Celtics,82,25,57,106.5,1.007663923
2013-14,18,Orlando Magic,82,23,59,106.6,1.008610086
2013-14,19,Brooklyn Nets,82,44,38,106.7,1.009556249
2013-14,20,Cleveland Cavaliers,82,33,49,107,1.012394739
2013-14,21,Dallas Mavericks,82,49,33,107.2,1.014287066
2013-14,22,Denver Nuggets,82,36,46,107.3,1.015233229
2013-14,23,Sacramento Kings,82,28,54,107.8,1.019964046
2013-14,24,New York Knicks,82,37,45,108.1,1.022802536
2013-14,25,Detroit Pistons,82,29,53,109,1.031318005
2013-14,26,Philadelphia 76ers,82,19,63,109,1.031318005
2013-14,27,New Orleans Pelicans,82,34,48,109.1,1.032264169
2013-14,28,Los Angeles Lakers,82,27,55,109.3,1.034156495
2013-14,29,Utah Jazz,82,25,57,110.1,1.041725802
2013-14,30,Milwaukee Bucks,82,15,67,110.2,1.042671965
2013-14,,League Avg,,,,105.69,1
2014-15,1,Golden State Warriors,82,67,15,100.4,0.958503055
2014-15,2,Memphis Grizzlies,82,55,27,101.2,0.96614053
2014-15,3,San Antonio Spurs,82,55,27,101.4,0.968049898
2014-15,4,Milwaukee Bucks,82,41,41,101.4,0.968049898
2014-15,5,Atlanta Hawks,82,60,22,102.3,0.976642057
2014-15,6,Washington Wizards,82,46,36,102.4,0.977596741
2014-15,7,Houston Rockets,82,56,26,102.6,0.97950611
2014-15,8,Indiana Pacers,82,38,44,102.7,0.980460794
2014-15,9,Portland Trail Blazers,82,51,31,102.8,0.981415479
2014-15,10,Charlotte Hornets,82,33,49,103,0.983324847
2014-15,11,Chicago Bulls,82,50,32,103.3,0.9861889
2014-15,12,Boston Celtics,82,40,42,103.5,0.988098269
2014-15,13,Philadelphia 76ers,82,18,64,103.9,0.991917006
2014-15,14,Utah Jazz,82,38,44,104.1,0.993826375
2014-15,15,Oklahoma City Thunder,82,45,37,104.6,0.998599796
2014-15,16,Los Angeles Clippers,82,56,26,104.7,0.999554481
2014-15,17,Dallas Mavericks,82,50,32,104.9,1.001463849
2014-15,18,Cleveland Cavaliers,82,53,29,105.3,1.005282587
2014-15,19,Phoenix Suns,82,39,43,105.3,1.005282587
2014-15,20,Detroit Pistons,82,32,50,105.4,1.006237271
2014-15,21,Miami Heat,82,37,45,106.1,1.012920061
2014-15,22,New Orleans Pelicans,82,45,37,106.3,1.01482943
2014-15,23,Brooklyn Nets,82,38,44,106.3,1.01482943
2014-15,24,Orlando Magic,82,25,57,106.8,1.019602851
2014-15,25,Toronto Raptors,82,49,33,107.1,1.022466904
2014-15,26,Denver Nuggets,82,30,52,107.1,1.022466904
2014-15,27,Sacramento Kings,82,29,53,108.2,1.032968432
2014-15,28,New York Knicks,82,17,65,109,1.040605906
2014-15,29,Los Angeles Lakers,82,21,61,109.4,1.044424644
2014-15,30,Minnesota Timberwolves,82,16,66,110.9,1.058744908
2014-15,,League Avg,,,,104.7466667,1
2015-16,1,San Antonio Spurs,82,67,15,98.2,0.930482297
2015-16,2,Atlanta Hawks,82,48,34,100.8,0.955118284
2015-16,3,Indiana Pacers,82,45,37,102.2,0.968383816
2015-16,4,Boston Celtics,82,48,34,102.5,0.97122643
2015-16,5,LA Clippers,82,53,29,102.7,0.973121506
2015-16,6,Golden State Warriors,82,73,9,102.8,0.974069044
2015-16,7,Utah Jazz,82,40,42,103.2,0.977859196
2015-16,8,Miami Heat,82,48,34,103.7,0.982596886
2015-16,9,Charlotte Hornets,82,48,34,103.7,0.982596886
2015-16,10,Cleveland Cavaliers,82,57,25,103.9,0.984491962
2015-16,11,Oklahoma City Thunder,82,55,27,104.8,0.993019804
2015-16,12,Toronto Raptors,82,56,26,104.8,0.993019804
2015-16,13,Detroit Pistons,82,44,38,104.9,0.993967342
2015-16,14,Washington Wizards,82,41,41,105.1,0.995862417
2015-16,15,Chicago Bulls,82,42,40,105.5,0.999652569
2015-16,16,Dallas Mavericks,82,42,40,105.9,1.003442721
2015-16,17,Orlando Magic,82,35,47,106,1.004390259
2015-16,18,New York Knicks,82,32,50,106.7,1.011023025
2015-16,19,Portland Trail Blazers,82,44,38,106.8,1.011970563
2015-16,20,Memphis Grizzlies,82,42,40,107.1,1.014813177
2015-16,21,Houston Rockets,82,41,41,107.3,1.016708253
2015-16,22,Sacramento Kings,82,33,49,107.6,1.019550867
2015-16,23,Milwaukee Bucks,82,33,49,107.8,1.021445943
2015-16,24,Phoenix Suns,82,23,59,107.9,1.022393481
2015-16,25,Denver Nuggets,82,33,49,108.2,1.025236095
2015-16,26,New Orleans Pelicans,82,30,52,108.4,1.027131171
2015-16,27,Philadelphia 76ers,82,10,72,108.6,1.029026247
2015-16,28,Minnesota Timberwolves,82,29,53,109,1.032816399
2015-16,29,Brooklyn Nets,82,21,61,109.7,1.039449165
2015-16,30,Los Angeles Lakers,82,17,65,110.3,1.045134392
2015-16,,League Avg,,,,105.5366667,1
2016-17,1,San Antonio Spurs,82,61,21,102.9,0.951514965
2016-17,2,Golden State Warriors,82,67,15,103.4,0.956138458
2016-17,3,Utah Jazz,82,51,31,104.7,0.968159541
2016-17,4,Atlanta Hawks,82,43,39,105.2,0.972783035
2016-17,5,Chicago Bulls,82,41,41,106.2,0.982030022
2016-17,6,Miami Heat,82,41,41,106.4,0.983879419
2016-17,7,Memphis Grizzlies,82,43,39,106.5,0.984804118
2016-17,8,Detroit Pistons,82,37,45,106.7,0.986653515
2016-17,9,New Orleans Pelicans,82,34,48,106.8,0.987578214
2016-17,10,Oklahoma City Thunder,82,47,35,107.1,0.99035231
2016-17,11,Toronto Raptors,82,51,31,107.1,0.99035231
2016-17,12,LA Clippers,82,51,31,107.5,0.994051105
2016-17,13,Dallas Mavericks,82,33,49,107.7,0.995900502
2016-17,14,Boston Celtics,82,53,29,108,0.998674599
2016-17,15,Indiana Pacers,82,42,40,108.1,0.999599297
2016-17,16,Philadelphia 76ers,82,28,54,108.2,1.000523996
2016-17,17,Charlotte Hornets,82,36,46,108.4,1.002373393
2016-17,18,Houston Rockets,82,55,27,108.4,1.002373393
2016-17,19,Milwaukee Bucks,82,42,40,108.7,1.005147489
2016-17,20,Washington Wizards,82,49,33,108.8,1.006072188
2016-17,21,Cleveland Cavaliers,82,51,31,109.7,1.014394476
2016-17,22,Portland Trail Blazers,82,41,41,110,1.017168573
2016-17,23,Brooklyn Nets,82,20,62,110.1,1.018093271
2016-17,24,Orlando Magic,82,29,53,110.3,1.019942669
2016-17,25,New York Knicks,82,31,51,110.7,1.023641463
2016-17,26,Sacramento Kings,82,32,50,110.8,1.024566162
2016-17,27,Minnesota Timberwolves,82,31,51,110.9,1.025490861
2016-17,28,Phoenix Suns,82,24,58,111.3,1.029189656
2016-17,29,Denver Nuggets,82,40,42,111.7,1.032888451
2016-17,30,Los Angeles Lakers,82,26,56,112,1.035662547
2016-17,,League Avg,,,,108.1433333,1
2017-18,1,Utah Jazz,82,48,34,103,0.955118694
2017-18,2,Boston Celtics,82,55,27,103.2,0.956973294
2017-18,3,Philadelphia 76ers,82,52,30,103.9,0.963464392
2017-18,4,San Antonio Spurs,82,47,35,104.1,0.965318991
2017-18,5,Toronto Raptors,82,59,23,105.3,0.976446588
2017-18,6,Portland Trail Blazers,82,49,33,105.7,0.980155786
2017-18,7,Houston Rockets,82,65,17,105.7,0.980155786
2017-18,8,Miami Heat,82,44,38,105.8,0.981083086
2017-18,9,Oklahoma City Thunder,82,48,34,106.4,0.986646884
2017-18,10,Detroit Pistons,82,39,43,106.7,0.989428783
2017-18,11,Golden State Warriors,82,58,24,106.8,0.990356083
2017-18,12,Indiana Pacers,82,48,34,107.3,0.994992582
2017-18,13,Los Angeles Lakers,82,35,47,107.3,0.994992582
2017-18,14,New Orleans Pelicans,82,48,34,107.4,0.995919881
2017-18,15,Washington Wizards,82,43,39,107.7,0.99870178
2017-18,16,Dallas Mavericks,82,24,58,108.4,1.005192878
2017-18,17,Charlotte Hornets,82,36,46,109,1.010756677
2017-18,18,Milwaukee Bucks,82,44,38,109.1,1.011683976
2017-18,19,LA Clippers,82,42,40,109.2,1.012611276
2017-18,20,Orlando Magic,82,25,57,109.4,1.014465875
2017-18,21,Brooklyn Nets,82,28,54,109.7,1.017247774
2017-18,22,New York Knicks,82,29,53,109.7,1.017247774
2017-18,23,Denver Nuggets,82,46,36,110,1.020029674
2017-18,24,Atlanta Hawks,82,24,58,110.1,1.020956973
2017-18,25,Minnesota Timberwolves,82,47,35,110.2,1.021884273
2017-18,26,Memphis Grizzlies,82,22,60,110.4,1.023738872
2017-18,27,Sacramento Kings,82,27,55,110.4,1.023738872
2017-18,28,Chicago Bulls,82,27,55,110.5,1.024666172
2017-18,29,Cleveland Cavaliers,82,50,32,111.1,1.03022997
2017-18,30,Phoenix Suns,82,21,61,111.7,1.035793769
2017-18,,League Avg,,,,107.84,1
2018-19,1,Milwaukee Bucks,82,60,22,104.9,0.956011908
2018-19,2,Utah Jazz,82,50,32,105.3,0.95965733
2018-19,3,Indiana Pacers,82,48,34,106,0.966036819
2018-19,4,Oklahoma City Thunder,82,49,33,106.5,0.970593596
2018-19,5,Toronto Raptors,82,58,24,106.8,0.973327663
2018-19,6,Boston Celtics,82,49,33,107,0.975150374
2018-19,7,Miami Heat,82,39,43,107.1,0.976061729
2018-19,8,Orlando Magic,82,42,40,107.6,0.980618507
2018-19,9,Memphis Grizzlies,82,33,49,108,0.984263929
2018-19,10,Denver Nuggets,82,54,28,108.1,0.985175284
2018-19,11,Golden State Warriors,82,57,25,108.6,0.989732061
2018-19,12,Detroit Pistons,82,41,41,108.7,0.990643417
2018-19,13,Los Angeles Lakers,82,37,45,108.9,0.992466128
2018-19,14,Philadelphia 76ers,82,51,31,109,0.993377483
2018-19,15,Brooklyn Nets,82,42,40,109,0.993377483
2018-19,16,Portland Trail Blazers,82,53,29,109.5,0.997934261
2018-19,17,Houston Rockets,82,53,29,110.1,1.003402394
2018-19,18,Dallas Mavericks,82,33,49,110.1,1.003402394
2018-19,19,LA Clippers,82,48,34,110.4,1.00613646
2018-19,20,San Antonio Spurs,82,48,34,110.5,1.007047816
2018-19,21,Sacramento Kings,82,39,43,110.8,1.009781882
2018-19,22,New Orleans Pelicans,82,33,49,112,1.020718148
2018-19,23,Charlotte Hornets,82,39,43,112,1.020718148
2018-19,24,Minnesota Timberwolves,82,36,46,112.2,1.022540859
2018-19,25,Chicago Bulls,82,22,60,112.8,1.028008992
2018-19,26,New York Knicks,82,17,65,112.9,1.028920348
2018-19,27,Washington Wizards,82,32,50,112.9,1.028920348
2018-19,28,Atlanta Hawks,82,29,53,113.1,1.030743059
2018-19,29,Phoenix Suns,82,19,63,114.2,1.040767969
2018-19,30,Cleveland Cavaliers,82,19,63,116.8,1.064463212
2018-19,,League Avg,,,,109.7266667,1
2019-20,1,Milwaukee Bucks,26,23,3,101.3,0.934588062
2019-20,2,Denver Nuggets,23,15,8,102.5,0.945659194
2019-20,3,Toronto Raptors,24,16,8,103.3,0.953039948
2019-20,4,Philadelphia 76ers,27,20,7,103.4,0.953962543
2019-20,5,Los Angeles Lakers,26,23,3,103.4,0.953962543
2019-20,6,LA Clippers,27,20,7,103.6,0.955807731
2019-20,7,Indiana Pacers,26,17,9,104.1,0.960420703
2019-20,8,Boston Celtics,24,17,7,104.1,0.960420703
2019-20,9,Miami Heat,25,18,7,104.9,0.967801458
2019-20,10,Chicago Bulls,27,9,18,105,0.968724052
2019-20,11,Utah Jazz,26,15,11,105.5,0.973337024
2019-20,12,Orlando Magic,25,11,14,105.9,0.977027401
2019-20,13,Oklahoma City Thunder,24,11,13,106.6,0.983485561
2019-20,14,Dallas Mavericks,24,17,7,107.8,0.994556693
2019-20,15,Houston Rockets,25,17,8,109.2,1.007473014
2019-20,16,Brooklyn Nets,24,13,11,109.4,1.009318203
2019-20,17,Phoenix Suns,24,11,13,109.5,1.010240797
2019-20,18,Sacramento Kings,25,11,14,109.5,1.010240797
2019-20,19,Detroit Pistons,25,10,15,109.9,1.013931174
2019-20,20,Portland Trail Blazers,26,10,16,111.3,1.026847495
2019-20,21,Memphis Grizzlies,25,8,17,111.3,1.026847495
2019-20,22,Minnesota Timberwolves,25,10,15,111.4,1.027770089
2019-20,23,San Antonio Spurs,24,9,15,112.2,1.035150844
2019-20,24,New York Knicks,26,6,20,112.3,1.036073439
2019-20,25,Charlotte Hornets,28,12,16,112.5,1.037918627
2019-20,26,Golden State Warriors,27,5,22,113,1.042531599
2019-20,27,Cleveland Cavaliers,25,6,19,113.7,1.048989759
2019-20,28,Atlanta Hawks,26,6,20,114.3,1.054525325
2019-20,29,New Orleans Pelicans,26,6,20,114.4,1.05544792
2019-20,30,Washington Wizards,23,7,16,116.4,1.073899806
2019-20,,League Avg,,,,108.39,1